_id	slug	title	publishedAt	adoptionDate	year_field	canonical_year	_createdAt
adoptionSuccess-2022-2022043	stitch-2022043	Stitch		2022-12-06	2022	2022	2026-02-09T17:11:21Z
adoptionSuccess-2022-2022054	diesel-fawn-2022054	Diesel fawn		2022-10-28	2022	2022	2026-02-09T17:09:49Z
adoptionSuccess-2022-2022047	atlas-2022047	Atlas		2022-10-22	2022	2022	2026-02-09T17:09:28Z
adoptionSuccess-2022-2022042	holly-2022042	Holly		2022-10-07	2022	2022	2026-02-09T17:10:22Z
adoptionSuccess-2022-2022052	fats-2022052	Fats		2022-10-07	2022	2022	2026-02-09T17:10:14Z
adoptionSuccess-2022-2022053	ella-2022053	Ella		2022-09-09	2022	2022	2026-02-09T17:10:11Z
adoptionSuccess-2022-2022056	brooke-2022056	Brooke		2022-09-07	2022	2022	2026-02-09T17:09:38Z
adoptionSuccess-2022-2022034	bruce-2022034	Bruce		2022-09-05	2022	2022	2026-02-09T17:09:41Z
adoptionSuccess-2022-2022049	ocean-2022049	Ocean		2022-09-05	2022	2022	2026-02-09T17:11:01Z
adoptionSuccess-2022-2022040	lilo-2022040	Lilo		2022-08-23	2022	2022	2026-02-09T17:10:42Z
adoptionSuccess-2022-2022039	snoop-2022039	Snoop		2022-07-28	2022	2022	2026-02-09T17:11:17Z
adoptionSuccess-2022-2022030	penelope-2022030	Penelope		2022-07-25	2022	2022	2026-02-09T17:11:07Z
adoptionSuccess-2022-2022050	dixie-2022050	Dixie		2022-07-23	2022	2022	2026-02-09T17:09:54Z
adoptionSuccess-2022-2022036	siren-2022036	Siren		2022-07-15	2022	2022	2026-02-09T17:11:14Z
adoptionSuccess-2022-2022037	george-2022037	George		2022-07-10	2022	2022	2026-02-09T17:10:17Z
adoptionSuccess-2022-2022024	duncan-2022024	Duncan		2022-07-08	2022	2022	2026-02-09T17:10:00Z
adoptionSuccess-2022-2022033	khan-2022033	Khan		2022-05-25	2022	2022	2026-02-09T17:10:35Z
adoptionSuccess-2022-2022029	bella-2022029	Bella		2022-05-10	2022	2022	2026-02-09T17:09:31Z
adoptionSuccess-2022-2022028	jack-2022028	Jack		2022-04-23	2022	2022	2026-02-09T17:10:29Z
adoptionSuccess-2022-2022020	mimi-2022020	Mimi		2022-04-09	2022	2022	2026-02-09T17:10:57Z
adoptionSuccess-2022-2022014	duke-2022014	Duke		2022-04-08	2022	2022	2026-02-09T17:09:59Z
adoptionSuccess-2022-2022026	kingsley-2022026	Kingsley		2022-03-27	2022	2022	2026-02-09T17:10:38Z
adoptionSuccess-2022-2022012	mera-2022012	Mera		2022-03-18	2022	2022	2026-02-09T17:10:54Z
adoptionSuccess-2022-2022021	apollo-2022021	Apollo		2022-03-03	2022	2022	2026-02-09T17:09:20Z
adoptionSuccess-2022-2022027	dozer-2022027	Dozer		2022-02-27	2022	2022	2026-02-09T17:09:57Z
adoptionSuccess-2022-2022017	lucy-2022017	Lucy		2022-02-21	2022	2022	2026-02-09T17:10:46Z
adoptionSuccess-2022-2022022	brandi-2022022	Brandi		2022-02-04	2022	2022	2026-02-09T17:09:35Z
adoptionSuccess-2022-2022011	phoebe-2022011	Phoebe		2022-01-29	2022	2022	2026-02-09T17:11:11Z
adoptionSuccess-2022-2022010	juniper-2022010	Juniper		2022-01-27	2022	2022	2026-02-09T17:10:32Z
adoptionSuccess-2022-2022009	penelope-2022009	Penelope		2022-01-17	2022	2022	2026-02-09T17:11:05Z
adoptionSuccess-2022-2022007	charlie-2022007	Charlie		2022-01-13	2022	2022	2026-02-09T17:09:45Z
adoptionSuccess-2022-2022002	athena-2022002	Athena		2022-01-07	2022	2022	2026-02-09T17:09:24Z
adoptionSuccess-2022-2022004	iris-now-sammy-2022004	Iris (now Sammy)		2022-01-07	2022	2022	2026-02-09T17:10:26Z
