# Phase C Vercel-preview results, run 2026-05-06.
# Preview: https://rmgdri-site-hanfq5ixm-ray-richardsons-projects-4591755e.vercel.app
# Branch HEAD: b257c70 (Phase B 63dafa0 + retrigger b54384c + local Phase C evidence b257c70)
# Method: Python http.client HEAD over HTTPS; -L follow up to 5 hops for 308 rows; path-revisit loop guard.
test_path	expected_status	expected_location	actual_status	actual_location	chain_depth	final_path	final_status	verdict	notes	rationale
/bruce/	308	/available-danes/bruce	308	/bruce	2	/available-danes/bruce	200	PASS-but-chain	initial Location=/bruce, final after 2 hops matches	refinement 1: trailing-slash source
/thunder	308	/available-danes/thunder	308	/available-danes/thunder	1	/available-danes/thunder	200	PASS		refinement 1: no-trailing-slash source
/thunder/	308	/available-danes/thunder	308	/thunder	2	/available-danes/thunder	200	PASS-but-chain	initial Location=/thunder, final after 2 hops matches	refinement 1: trailing-slash source
/oakley	308	/available-danes/oakley	308	/available-danes/oakley	1	/available-danes/oakley	200	PASS		refinement 1: no-trailing-slash source
/oakley/	308	/available-danes/oakley	308	/oakley	2	/available-danes/oakley	200	PASS-but-chain	initial Location=/oakley, final after 2 hops matches	refinement 1: trailing-slash source
/2022-Bella-has-a-home	308	/adoption-successes/2022/bella-2022	308	/adoption-successes/2022/bella-2022	1	/adoption-successes/2022/bella-2022	200	PASS		pattern_class=success_year_prefixed
/2022-apollo-has-a-home	308	/adoption-successes/2022/apollo-2022	308	/adoption-successes/2022/apollo-2022	1	/adoption-successes/2022/apollo-2022	200	PASS		pattern_class=success_year_prefixed
/2022-athena-has-a-home	308	/adoption-successes/2022/athena-2022	308	/adoption-successes/2022/athena-2022	1	/adoption-successes/2022/athena-2022	200	PASS		pattern_class=success_year_prefixed
/2022-athena-has-a-home-2	308	/adoption-successes/2022/athena-2022	308	/adoption-successes/2022/athena-2022	1	/adoption-successes/2022/athena-2022	200	PASS		pattern_class=success_year_prefixed
/2022-atlas-has-a-home	308	/adoption-successes/2022/atlas-2022	308	/adoption-successes/2022/atlas-2022	1	/adoption-successes/2022/atlas-2022	200	PASS		pattern_class=success_year_prefixed
/2022-brandi-has-a-home	308	/adoption-successes/2022/brandi-2022	308	/adoption-successes/2022/brandi-2022	1	/adoption-successes/2022/brandi-2022	200	PASS		pattern_class=success_year_prefixed
/2022-brooke-has-a-home	308	/adoption-successes/2022/brooke-2022	308	/adoption-successes/2022/brooke-2022	1	/adoption-successes/2022/brooke-2022	200	PASS		pattern_class=success_year_prefixed
/2022-bruce-has-a-home	308	/adoption-successes/2022	308	/adoption-successes/2022	1	/adoption-successes/2022	200	PASS		pattern_class=success_year_prefixed
/_next/static/chunk-abc.js	200		404		0	/_next/static/chunk-abc.js	404	PASS-passthrough-404		refinement 2 / route exists: static asset (Next.js build output)
/_next/image?url=foo	200		400		0	/_next/image?url=foo	400	PASS-passthrough	framework handler rejected input (correct passthrough)	refinement 2 / route exists: Next.js image optimizer
/api/admin/health	200		404		0	/api/admin/health	404	PASS-passthrough-404		refinement 2 / route exists: API route
/favicon.ico	200		200		0	/favicon.ico	200	PASS		refinement 2 / route exists: site favicon
/robots.txt	200		404		0	/robots.txt	404	PASS-passthrough-404		refinement 2 / route exists: SEO crawler file
/sitemap.xml	200		404		0	/sitemap.xml	404	PASS-passthrough-404		refinement 2 / route exists: SEO crawler file
/.well-known/nodeinfo	200		404		0	/.well-known/nodeinfo	404	PASS-passthrough-404		refinement 2 / route exists: discovery endpoint (.well-known)
/.well-known/openid-configuration	200		404		0	/.well-known/openid-configuration	404	PASS-passthrough-404		refinement 2 / route exists: discovery endpoint (.well-known)
/	200		200		0	/	200	PASS		refinement 2 / route exists: homepage (200)
/about-great-danes	200		200		0	/about-great-danes	200	PASS		refinement 2 / route exists: current static route (200)
/adoption-successes	200		200		0	/adoption-successes	200	PASS		refinement 2 / route exists: current static route (200)
/the-dog-blog	200		200		0	/the-dog-blog	200	PASS		refinement 2 / route exists: current static route (200)
